,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^SP500-45,^SP500-45,^SP500-45,^SP500-45,^SP500-45
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,
30/06/2021,4219.4306640625,4234.074690755208,4206.123347981771,4222.119661458333,4603642000.0,2469.149666341146,2487.98701171875,2459.3059977213543,2477.3,375147420.0
01/07/2021,4226.173323567708,4240.865690104167,4214.10068359375,4228.9283203125,4588334666.666667,2477.3,2495.948347981771,2468.331990559896,2485.2806640625,372358973.3333333
02/07/2021,4232.994319661459,4246.953369140625,4220.9216796875,4235.368977864583,4563233333.333333,2485.2806640625,2503.438680013021,2476.3126546223957,2492.997664388021,369814003.3333333
06/07/2021,4239.255989583334,4252.544694010417,4226.343343098958,4241.624983723958,4573710666.666667,2492.997664388021,2511.3826822916667,2483.97666015625,2501.453995768229,370782956.6666667
07/07/2021,4245.284309895834,4257.623356119791,4231.664339192708,4246.994319661459,4585463333.333333,2501.453995768229,2518.80634765625,2492.203662109375,2508.944327799479,372832003.3333333
08/07/2021,4249.12197265625,4261.538688151041,4235.226009114584,4251.417317708333,4590971666.666667,2508.944327799479,2525.785677083333,2498.078662109375,2515.568994140625,373582970.0
09/07/2021,4253.714973958334,4267.171695963541,4240.068343098958,4257.20263671875,4561312666.666667,2515.568994140625,2532.984342447917,2504.7723307291667,2523.0369873046875,375147373.3333333
12/07/2021,4259.397314453125,4272.948372395834,4245.610009765625,4263.32763671875,4460584333.333333,2523.0369873046875,2540.5796712239585,2512.4430013020833,2530.96865234375,367749446.6666667
13/07/2021,4265.073974609375,4278.748714192709,4251.055013020833,4268.830973307292,4428790333.333333,2530.96865234375,2548.7800048828126,2520.1840006510415,2539.043986002604,367262866.6666667
14/07/2021,4270.526969401041,4284.0673828125,4256.547347005208,4274.572965494792,4393180333.333333,2539.043986002604,2557.449007161458,2528.7539957682293,2548.1123209635416,368564353.3333333
15/07/2021,4275.933642578125,4289.122379557291,4261.29501953125,4279.63662109375,4328899000.0,2548.1123209635416,2565.671671549479,2536.6006673177085,2555.9239908854165,370735030.0
16/07/2021,4281.800309244792,4294.812369791666,4266.44833984375,4284.113623046875,4275490000.0,2555.9239908854165,2574.0843424479167,2544.6683349609375,2563.615657552083,371310856.6666667
19/07/2021,4284.811979166667,4296.910693359375,4267.351009114584,4285.066959635416,4309419000.0,2563.615657552083,2580.1246744791665,2550.646337890625,2568.542659505208,375838833.3333333
